County,DemographicCategory,TeacherCount,TotalTeacherCount,TeacherPct,CountyFP,FIPS
Adams,Indigenous,1,374,0.0027,001,53001
Adams,Asian,1,374,0.0027,001,53001
Adams,Latinx,85,374,0.2273,001,53001
Adams,Not Provided,4,374,0.0107,001,53001
Adams,Multiracial,3,374,0.0080,001,53001
Adams,White,280,374,0.7487,001,53001
Asotin,Indigenous,1,185,0.0054,003,53003
Asotin,Latinx,1,185,0.0054,003,53003
Asotin,Pacific Islander,1,185,0.0054,003,53003
Asotin,White,182,185,0.9838,003,53003
Benton,Indigenous,15,2248,0.0067,005,53005
Benton,Asian,25,2248,0.0111,005,53005
Benton,Black,14,2248,0.0062,005,53005
Benton,Latinx,191,2248,0.0850,005,53005
Benton,Not Provided,19,2248,0.0085,005,53005
Benton,Multiracial,21,2248,0.0093,005,53005
Benton,White,1963,2248,0.8732,005,53005
Chelan,Indigenous,5,879,0.0057,007,53007
Chelan,Asian,3,879,0.0034,007,53007
Chelan,Latinx,84,879,0.0956,007,53007
Chelan,Not Provided,1,879,0.0011,007,53007
Chelan,Multiracial,10,879,0.0114,007,53007
Chelan,White,776,879,0.8828,007,53007
Clallam,Indigenous,17,732,0.0232,009,53009
Clallam,Asian,8,732,0.0109,009,53009
Clallam,Black,4,732,0.0055,009,53009
Clallam,Latinx,19,732,0.0260,009,53009
Clallam,Pacific Islander,1,732,0.0014,009,53009
Clallam,Not Provided,18,732,0.0246,009,53009
Clallam,Multiracial,13,732,0.0178,009,53009
Clallam,White,652,732,0.8907,009,53009
Clark,Indigenous,16,4932,0.0032,011,53011
Clark,Asian,105,4932,0.0213,011,53011
Clark,Black,44,4932,0.0089,011,53011
Clark,Latinx,203,4932,0.0412,011,53011
Clark,Pacific Islander,7,4932,0.0014,011,53011
Clark,Not Provided,64,4932,0.0130,011,53011
Clark,Multiracial,79,4932,0.0160,011,53011
Clark,White,4414,4932,0.8950,011,53011
Columbia,Black,1,37,0.0270,013,53013
Columbia,Multiracial,1,37,0.0270,013,53013
Columbia,White,35,37,0.9459,013,53013
Cowlitz,Indigenous,8,1038,0.0077,015,53015
Cowlitz,Asian,8,1038,0.0077,015,53015
Cowlitz,Black,6,1038,0.0058,015,53015
Cowlitz,Latinx,28,1038,0.0270,015,53015
Cowlitz,Pacific Islander,4,1038,0.0039,015,53015
Cowlitz,Not Provided,4,1038,0.0039,015,53015
Cowlitz,Multiracial,10,1038,0.0096,015,53015
Cowlitz,White,970,1038,0.9345,015,53015
Douglas,Indigenous,4,446,0.0090,017,53017
Douglas,Asian,3,446,0.0067,017,53017
Douglas,Black,2,446,0.0045,017,53017
Douglas,Latinx,25,446,0.0561,017,53017
Douglas,Not Provided,2,446,0.0045,017,53017
Douglas,Multiracial,2,446,0.0045,017,53017
Douglas,White,408,446,0.9148,017,53017
Ferry,Indigenous,2,70,0.0286,019,53019
Ferry,Black,1,70,0.0143,019,53019
Ferry,Latinx,2,70,0.0286,019,53019
Ferry,Pacific Islander,1,70,0.0143,019,53019
Ferry,Multiracial,2,70,0.0286,019,53019
Ferry,White,62,70,0.8857,019,53019
Franklin,Indigenous,9,1357,0.0066,021,53021
Franklin,Asian,15,1357,0.0111,021,53021
Franklin,Black,15,1357,0.0111,021,53021
Franklin,Latinx,37,1357,0.0273,021,53021
Franklin,Not Provided,11,1357,0.0081,021,53021
Franklin,Multiracial,2,1357,0.0015,021,53021
Franklin,White,1268,1357,0.9344,021,53021
Garfield,White,22,22,1.0000,023,53023
Grant,Indigenous,5,1270,0.0039,025,53025
Grant,Asian,16,1270,0.0126,025,53025
Grant,Black,5,1270,0.0039,025,53025
Grant,Latinx,128,1270,0.1008,025,53025
Grant,Pacific Islander,4,1270,0.0031,025,53025
Grant,Not Provided,4,1270,0.0031,025,53025
Grant,Multiracial,8,1270,0.0063,025,53025
Grant,White,1100,1270,0.8661,025,53025
Grays Harbor,Indigenous,15,747,0.0201,027,53027
Grays Harbor,Asian,3,747,0.0040,027,53027
Grays Harbor,Black,5,747,0.0067,027,53027
Grays Harbor,Latinx,22,747,0.0295,027,53027
Grays Harbor,Pacific Islander,1,747,0.0013,027,53027
Grays Harbor,Not Provided,43,747,0.0576,027,53027
Grays Harbor,Multiracial,18,747,0.0241,027,53027
Grays Harbor,White,640,747,0.8568,027,53027
Island,Asian,9,553,0.0163,029,53029
Island,Black,9,553,0.0163,029,53029
Island,Latinx,13,553,0.0235,029,53029
Island,Pacific Islander,3,553,0.0054,029,53029
Island,Not Provided,9,553,0.0163,029,53029
Island,Multiracial,4,553,0.0072,029,53029
Island,White,506,553,0.9150,029,53029
Jefferson,Indigenous,2,186,0.0108,031,53031
Jefferson,Asian,1,186,0.0054,031,53031
Jefferson,Latinx,4,186,0.0215,031,53031
Jefferson,Not Provided,2,186,0.0108,031,53031
